"COUNTRY","Country","SEX","Gender","REF_SECTOR","Reference sector","INTENSITY","Intensity","EDUCATION_LEV","Education level","UNIT_MEASURE","Unit","YEAR","Year","Value","Flag Codes","Flags"
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","PT","Part-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2017","2017",3272,,
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","PT","Part-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2018","2018",,"k","Data included in another category"
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","PT","Part-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2019","2019",,"k","Data included in another category"
"AUS","Australia","_T","Total","INST_PRIV_IND","Independent private educational institutions","PT","Part-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2013","2013",17377,,
"AUS","Australia","_T","Total","INST_PRIV_IND","Independent private educational institutions","PT","Part-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2014","2014",15836,,
"AUS","Australia","_T","Total","INST_PRIV_IND","Independent private educational institutions","PT","Part-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2015","2015",21279,,
"AUS","Australia","_T","Total","INST_PRIV_IND","Independent private educational institutions","PT","Part-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2016","2016",23460,,
"AUS","Australia","_T","Total","INST_PRIV_IND","Independent private educational institutions","PT","Part-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2017","2017",22628,,
"AUS","Australia","_T","Total","INST_PRIV_IND","Independent private educational institutions","PT","Part-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2018","2018",,"k","Data included in another category"
"AUS","Australia","_T","Total","INST_PRIV_IND","Independent private educational institutions","PT","Part-time","ISCED11_6","Bachelor’s or equivalent level","PN","Pure number","2019","2019",,"k","Data included in another category"
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","_T","Full- and part-time","ISCED11_7","Master’s or equivalent level","PN","Pure number","2013","2013",194867,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","_T","Full- and part-time","ISCED11_7","Master’s or equivalent level","PN","Pure number","2014","2014",218672,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","_T","Full- and part-time","ISCED11_7","Master’s or equivalent level","PN","Pure number","2015","2015",229867,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","_T","Full- and part-time","ISCED11_7","Master’s or equivalent level","PN","Pure number","2016","2016",242227,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","_T","Full- and part-time","ISCED11_7","Master’s or equivalent level","PN","Pure number","2017","2017",243176,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","_T","Full- and part-time","ISCED11_7","Master’s or equivalent level","PN","Pure number","2018","2018",273238,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","_T","Full- and part-time","ISCED11_7","Master’s or equivalent level","PN","Pure number","2019","2019",291889,,
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","_T","Full- and part-time","ISCED11_7","Master’s or equivalent level","PN","Pure number","2013","2013",,"m","Missing value; data cannot exist"
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","_T","Full- and part-time","ISCED11_7","Master’s or equivalent level","PN","Pure number","2014","2014",,"m","Missing value; data cannot exist"
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","_T","Full- and part-time","ISCED11_7","Master’s or equivalent level","PN","Pure number","2015","2015",1330,,
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","_T","Full- and part-time","ISCED11_7","Master’s or equivalent level","PN","Pure number","2016","2016",1431,,
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","_T","Full- and part-time","ISCED11_7","Master’s or equivalent level","PN","Pure number","2017","2017",2282,,
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","_T","Full- and part-time","ISCED11_7","Master’s or equivalent level","PN","Pure number","2018","2018",,"k","Data included in another category"
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","_T","Full- and part-time","ISCED11_7","Master’s or equivalent level","PN","Pure number","2019","2019",,"k","Data included in another category"
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","FT","Full-time","ISCED11_7","Master’s or equivalent level","PN","Pure number","2013","2013",105921,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","FT","Full-time","ISCED11_7","Master’s or equivalent level","PN","Pure number","2014","2014",124441,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","FT","Full-time","ISCED11_7","Master’s or equivalent level","PN","Pure number","2015","2015",138457,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","FT","Full-time","ISCED11_7","Master’s or equivalent level","PN","Pure number","2016","2016",153880,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","FT","Full-time","ISCED11_7","Master’s or equivalent level","PN","Pure number","2017","2017",158331,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","FT","Full-time","ISCED11_7","Master’s or equivalent level","PN","Pure number","2018","2018",186243,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","FT","Full-time","ISCED11_7","Master’s or equivalent level","PN","Pure number","2019","2019",201839,,
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","FT","Full-time","ISCED11_7","Master’s or equivalent level","PN","Pure number","2013","2013",,"m","Missing value; data cannot exist"
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","FT","Full-time","ISCED11_7","Master’s or equivalent level","PN","Pure number","2014","2014",,"m","Missing value; data cannot exist"
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","FT","Full-time","ISCED11_7","Master’s or equivalent level","PN","Pure number","2015","2015",313,,
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","FT","Full-time","ISCED11_7","Master’s or equivalent level","PN","Pure number","2016","2016",423,,
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","FT","Full-time","ISCED11_7","Master’s or equivalent level","PN","Pure number","2017","2017",1234,,
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","FT","Full-time","ISCED11_7","Master’s or equivalent level","PN","Pure number","2018","2018",,"k","Data included in another category"
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","FT","Full-time","ISCED11_7","Master’s or equivalent level","PN","Pure number","2019","2019",,"k","Data included in another category"
"AUS","Australia","_T","Total","INST_PRIV_IND","Independent private educational institutions","FT","Full-time","ISCED11_7","Master’s or equivalent level","PN","Pure number","2013","2013",4799,,
"AUS","Australia","_T","Total","INST_PRIV_IND","Independent private educational institutions","FT","Full-time","ISCED11_7","Master’s or equivalent level","PN","Pure number","2014","2014",8229,,
"AUS","Australia","_T","Total","INST_PRIV_IND","Independent private educational institutions","FT","Full-time","ISCED11_7","Master’s or equivalent level","PN","Pure number","2015","2015",10827,,
"AUS","Australia","_T","Total","INST_PRIV_IND","Independent private educational institutions","FT","Full-time","ISCED11_7","Master’s or equivalent level","PN","Pure number","2016","2016",14200,,
"AUS","Australia","_T","Total","INST_PRIV_IND","Independent private educational institutions","FT","Full-time","ISCED11_7","Master’s or equivalent level","PN","Pure number","2017","2017",15300,,
"AUS","Australia","_T","Total","INST_PRIV_IND","Independent private educational institutions","FT","Full-time","ISCED11_7","Master’s or equivalent level","PN","Pure number","2018","2018",,"k","Data included in another category"
"AUS","Australia","_T","Total","INST_PRIV_IND","Independent private educational institutions","FT","Full-time","ISCED11_7","Master’s or equivalent level","PN","Pure number","2019","2019",,"k","Data included in another category"
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","PT","Part-time","ISCED11_7","Master’s or equivalent level","PN","Pure number","2013","2013",88946,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","PT","Part-time","ISCED11_7","Master’s or equivalent level","PN","Pure number","2014","2014",94231,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","PT","Part-time","ISCED11_7","Master’s or equivalent level","PN","Pure number","2015","2015",91410,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","PT","Part-time","ISCED11_7","Master’s or equivalent level","PN","Pure number","2016","2016",88347,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","PT","Part-time","ISCED11_7","Master’s or equivalent level","PN","Pure number","2017","2017",84845,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","PT","Part-time","ISCED11_7","Master’s or equivalent level","PN","Pure number","2018","2018",86995,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","PT","Part-time","ISCED11_7","Master’s or equivalent level","PN","Pure number","2019","2019",90050,,
